Name	b	b	b	b	Lat	Long
Niger	2	2	2	2	16	8
Nigeria	2	2	2	2	8	10
Niue	2	2	2	2	-19.05	-169.916667
North_Korea	2	2	2	2	40	127
Northern_Mariana_Islands	2	2	2	2	17	146
Norway	2	2	2	2	61	8
Oman	2	2	2	2	21	57
Pakistan	2	2	2	2	30	70
Palau	2	2	2	2	7.5	134.5
Palestinian_Territories	2	2	2	2	32	35.25
Panama	2	2	2	2	9	-80
Papua_New_Guinea	2	2	2	2	-6	147
Paraguay	2	2	2	2	-23	-58
Peru	2	2	2	2	-10	-76
Philippines	2	2	2	2	13	122
Pitcairn_Islands	2	2	2	2	-25.066667	-130.1
Poland	2	2	2	2	52	20
Portugal	2	2	2	2	38.7	-9.183333
Puerto_Rico	2	2	2	2	18.2	-66.5
Qatar	2	2	2	2	25.5	51.25
Reunion	2	2	2	2	-21.114444	55.5325
Romania	2	2	2	2	46	25
Russia	2	2	2	2	60	90
Rwanda	2	2	2	2	-1.940278	29.873889
Samoa	2	2	2	2	-13.583333	-172.333333
San_Marino	2	2	2	2	43.941667	12.458333
Sao_Tome_and_Principe	2	2	2	2	1	7
Saudi_Arabia	2	2	2	2	24	45
Senegal	2	2	2	2	14	-14
Serbia	2	2	2	2	44	21
Seychelles	2	2	2	2	-4.583333	55.666667
Sierra_Leone	2	2	2	2	8.5	-11.5
Singapore	2	2	2	2	1.3	103.8
Slovakia	2	2	2	2	48.666667	19.5
Slovenia	2	2	2	2	46.116667	14.816667
Solomon_Islands	2	2	2	2	-8	159
Somalia	2	2	2	2	10	49
South_Africa	2	2	2	2	-30	25
South_Georgia_and_the_South_Sandwich_Islands	2	2	2	2	-54.25	-36.75
South_Korea	2	2	2	2	36	128
South_Sudan	2	2	2	2	8	30
Spain	2	2	2	2	40	-4
Sri_Lanka	2	2	2	2	7	81
St_Helena	2	2	2	2	-15.933333	-5.716667
St_Kitts_and_Nevis	2	2	2	2	17.333333	-62.75
St_Lucia	2	2	2	2	13.883333	-60.966667
St_Vincent_and_the_Grenadines	2	2	2	2	13.25	-61.2
Sudan	2	2	2	2	15	32
Suriname	2	2	2	2	4	-56
Swaziland	2	2	2	2	-26.5	31.5
Sweden	2	2	2	2	63	16
Switzerland	2	2	2	2	46.833333	8.333333
Syria	2	2	2	2	35	38
Taiwan	2	2	2	2	25.033333	121.633333
Tajikistan	2	2	2	2	39	71
Tanzania	2	2	2	2	-6.307	34.854
Thailand	2	2	2	2	15.4	101.3
Togo	2	2	2	2	6.116667	1.216667
Tokelau	2	2	2	2	-9.166667	-171.833333
Tonga	2	2	2	2	-20	-175
Trinidad_and_Tobago	2	2	2	2	11.249285	-60.652557
Tunisia	2	2	2	2	34	9
Turkey	2	2	2	2	39	35
Turkmenistan	2	2	2	2	40	60
Turks_and_Caicos_Islands	2	2	2	2	21.75	-71.583333
Tuvalu	2	2	2	2	-8	178
Uganda	2	2	2	2	1	32
Ukraine	2	2	2	2	49	32
United_Arab_Emirates	2	2	2	2	24	54
United_Kingdom	2	2	2	2	55	-3
United_States	2	2	2	2	40	-100
Uruguay	2	2	2	2	-33	-56
Uzbekistan	2	2	2	2	41	69
Vanuatu	2	2	2	2	-17	168
Vatican	2	2	2	2	41.9	12.45
Venezuela	2	2	2	2	7	-65
Vietnam	2	2	2	2	16.166667	107.833333
Virgin_Islands	2	2	2	2	18.35	-64.933333
Wallis_and_Futuna	2	2	2	2	-13.3	-176.2
Western_Sahara	2	2	2	2	25	-13
Yemen	2	2	2	2	15	48
Zambia	2	2	2	2	-15	30
Zimbabwe	2	2	2	2	-20	30
